[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (4, 3, 2, 0, 1)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 4, 2, 0, 1)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 4, 0, 2, 1)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 1, 2, 0, 4)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 1, 0, 2, 4)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 0, 4, 2, 1)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 0, 2, 4, 1)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 0, 2, 1, 4)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (3, 0, 1, 2, 4)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -24 0 0], (1, 3, 2, 0, 4)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -16 0 0], (2, 3, 4, 1, 0)
[0 0 0 0 0 0 0 0 0 0 0 0 0 -16 0 0], (1, 0, 2, 3, 4)
[0 0 0 0 0 0 0 0 0 0 0 -8 0 0 0 0], (4, 0, 1, 3, 2)
[0 0 0 0 0 0 0 0 0 0 0 -8 0 0 0 0], (1, 4, 0, 3, 2)
[0 0 0 0 0 0 0 0 0 0 0 -8 0 0 0 0], (0, 4, 3, 1, 2)
[0 0 0 0 0 0 0 0 0 0 -40 0 0 0 0 0], (2, 1, 3, 0, 4)
[0 0 0 0 0 0 0 0 0 -40 0 0 0 0 0 0], (4, 0, 3, 1, 2)
[0 0 0 0 0 0 0 0 0 -32 0 0 0 0 0 0], (0, 3, 1, 4, 2)
[0 0 0 0 0 0 0 0 0 -16 0 0 0 0 0 0], (1, 0, 3, 4, 2)
[0 0 0 0 0 0 0 0 0 -16 0 0 0 0 0 0], (0, 1, 3, 2, 4)
[0 0 0 0 0 0 -24 0 0 0 0 0 0 0 0 0], (0, 4, 2, 1, 3)
[0 0 0 0 0 0 -24 0 0 0 0 0 0 0 0 0], (0, 4, 1, 2, 3)
[0 0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0], (3, 2, 1, 4, 0)
[0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0 0], (4, 2, 3, 1, 0)
[0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0 0], (4, 2, 0, 1, 3)
[0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0 0], (3, 2, 4, 0, 1)
[0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0 0], (2, 4, 1, 0, 3)
[0 0 0 0 0 -16 0 0 0 0 0 0 0 0 0 0], (1, 0, 4, 2, 3)
[0 0 0 0 -32 0 0 0 0 0 0 0 0 0 0 0], (4, 2, 3, 0, 1)
[0 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0], (4, 1, 2, 0, 3)
[0 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0], (4, 1, 0, 2, 3)
[0 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0], (2, 1, 4, 0, 3)
[0 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0], (2, 1, 0, 4, 3)
[0 0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0], (1, 2, 0, 4, 3)
[0 -32 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (3, 1, 0, 4, 2)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (4, 0, 3, 2, 1)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (4, 0, 2, 1, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (4, 0, 1, 2, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (2, 0, 1, 4, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (1, 2, 4, 0, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (0, 2, 4, 1, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (0, 2, 1, 4, 3)
[0 -16 0 0 0 0 0 0 0 0 0 0 0 0 0 0], (0, 1, 2, 4, 3)
